category_type,title,verb,feat,topics,description
essential_category,Essential,compose,an argumentative essay about,"['concept', 'person', 'event', 'device', 'text']","An argumentative essay is generally used to present our own opinions on a topic, although we may back up our points with references to research or authorities. An argument should take a stance, for or against, pro or con. An argument might also indicate a problem or issue and offer a solution."
essential_category,Essential,compose,a cause and effect essay on,"['concept', 'person', 'event', 'device', 'text']","You use cause and effect as a strategy when you want
to persuade your audience of the relationship between
two events. This can be an effective strategy when
promoting a certain course of action or when contextualizing
a situation."
essential_category,Essential,compose,a classification essay on,"['concept', 'person', 'event', 'device', 'text']","Classification is the dividing of topics into different
categories. This mode can be quite effective when
dealing with large ideas by breaking them down into
their parts. Martin Luther King, Jr. utilizes classification
when he classifies ‘laws’ into ‘just’ and ‘unjust’ in order to
persuade his audience to disobey ‘unjust’ laws."
essential_category,Essential,compose,a comparison and contrast essay on,"['concept', 'person', 'event', 'device', 'text']","Comparing and contrasting is the presentation of the
similarity or differences between two things. Contrast
might be used in an argument by presenting the pros
and cons of two economic theories for example. Comparison
can be an effective means of drawing parallels
between two seemingly different things to show that
they are not so different after all."
essential_category,Essential,compose,a narrative about,"['concept', 'person', 'event']","Narrative writing is simply the telling of a story. This
is not only the realm of fiction, but also is an effective
means of persuading an audience of the importance,
relevance, or urgency of your topic."
essential_category,Essential,compose,an exemplification essay on,"['concept', 'person', 'event', 'device', 'text']","Exemplification is the communication of ideas by using
examples. This is a useful strategy in conjunction with
exposition when a complex idea needs to be clarified."
essential_category,Essential,compose,an expository essay on,"['concept', 'person', 'event', 'device', 'text']","Expository writing sets out to ‘expose’ an idea
through description and explanation. Some ideas are
quite complex and abstract, so exposition is necessary
to simplify and concretize your message so that your
audience understands your point."
essential_category,Essential,compose,a definition of,"['concept', 'person', 'event', 'device']","Definition is the power to give words a meaning
specific to your own understanding. This is especially
useful when dealing with terms that are ambiguous such
as “democracy” and “freedom.”"
essential_category,Essential,compose,a process analysis essay on,"['concept', 'person', 'event', 'device', 'text']","Process writing simply communicates the process required
to achieve an outcome. This mode can be useful
when persuading a reader toward a particular action.
For example, if you want to encourage someone
to donate to a charity, you might demonstrate how easy
the process of doing so actually is."
essential_category,Essential,compose,a description of,"['concept', 'person', 'event']","Descriptive writing is a textual rendering of a person,
object, setting, or event. This can be used with great effect
to persuade a person by appealing to their senses."
essential_category,Essential,compose,a personal narrative about,"['concept', 'person', 'event']",A personal narrative is a story about the life of the author.
essential_category,Essential,compose,a persuasive essay about,"['concept', 'person', 'event']",A persuasive essay is a general type of writing that attempts to persuade its audience to have a certain view on a topic or to take some action.
essential_category,Essential,compose,a research paper on,"['concept', 'person', 'event', 'device', 'text']",A research paper is any essay that includes secondary sources on a primary topic.
essential_category,Essential,compose,a sentence about,"['concept', 'person', 'event', 'device', 'text']","There are five types of sentences: a declaration which states a fact; a hortative that pleads or begs; an exclamation that presents shock or surprise; an interrogative that asks a question; and an imperative that gives a command,"
essential_category,Essential,compose,a paragraph about,"['concept', 'person', 'event', 'device', 'text']",A paragraph is an organizational tool that includes a topic sentence and several sentences on that topic.
essential_category,Essential,compose,an essay on,"['concept', 'person', 'event', 'device', 'text']","An essay is a general term for a piece of writing that includes an introduction, thesis statement, body paragraphs, a conclusion, and a title."
essential_category,Essential,compose,a thesis statement on,"['concept', 'person', 'event', 'device', 'text']",A thesis statement is a single sentence that presents the topic and argument for an essay.
essential_category,Essential,compose,a summary of,"['event', 'text']",A summary is a brief overview of the concrete contents of a text absent any analysis or interpretation.
essential_category,Essential,compose,a textual description of,"['concept', 'person', 'event']","A textual description is a description of an object, person, or event that uses words."
analytic_category,Analytic,compose,an analytic essay on,['text'],"An analytical essay is a general term for writing a literary or rhetorical analysis of a text. The text should be read closely, annotated, then devices or strategies that the author uses should be discussed to show what purpose the text achieves."
analytic_category,Analytic,compose,a dialectical essay on,['text'],"A dialectical essay examines two features of a text or an issue and synthesizes them to make an argument. Simply put, a dialectical essay puts forward a thesis, its antithesis, and then attempts locate a compromise between the two."
analytic_category,Analytic,compose,an exegetical reading of,['text'],"Exegesis focuses on the function of religious symbols
and imagery."
analytic_category,Analytic,compose,a feminist reading of,['text'],"Feminism explores the ways in which the characters
are presented as embodied, be it sexually or racially."
analytic_category,Analytic,compose,a formalist reading of,['text'],"Formalism is concerned with the text and nothing but
the text, excluding all considerations of the historical
context and authorial background."
analytic_category,Analytic,compose,an historical reading of,['text'],"Historicism considers how the text relates to its
particular historical moment."
analytic_category,Analytic,compose,a marxist reading of,['text'],"Marxism investigates the economic or technological
influences upon a text."
analytic_category,Analytic,compose,a new historical reading of,['text'],"New historicism considers how the text relates to
our historical moment."
analytic_category,Analytic,compose,a psychoanalytic reading of,['text'],"Psychoanalysis focuses on the emotional or psychological
development of a character."
analytic_category,Analytic,compose,a queer reading of,['text'],"Queer theory can be understood in several ways, but it might best be viewed as an attempt to deconstruct the binary structures of identity."
analytic_category,Analytic,compose,a structuralist reading of,['text'],"Structuralism attempts to find the base structure of
literature itself, be it in the use of archetypes, tropes,
plot, characterization, or any other aspect of literature
that appears universal."
analytic_category,Analytic,compose,an etymological study on,"['device', 'common', 'essential']",Etymology is the study of the roots and developments of words in a language.
analytic_category,Analytic,compose,a revisionist response to,['event'],A revisionist response generally involves a reevaluation of an historical topic or event to challenge a commonly-held understanding of that topic or event.
analytic_category,Analytic,compose,an annotated bibliography for,['text'],An annotated bibliography is a list of references for an essay or a research paper followed by a brief explanation of the content of the resource and its value for the research project.
analytic_category,Analytic,compose,a bibliography for,['text'],A bibliography is a list of references for an essay or research paper.
analytic_category,Analytic,compose,a translation of,['text'],A translation refers to rewriting a text in a way that is more easily understood by an audience.
journalism_category,Journalism,compose,an advice column for,['person'],An advice column is usually presented as an informal letter in response to a question from the audience.
journalism_category,Journalism,compose,an article on,"['person', 'event']","The term “article” applies to a very wide range of
styles and approaches. Clearly, it carries the notion of a
journalistic discourse, but the context – which includes
where it is to be published, and to whom it is to be
addressed – will have a powerful influence on how it is
written."
journalism_category,Journalism,compose,an editorial about,"['person', 'event', 'concept']",An editorial is an opinion piece on a topic of concern that urges for a particular action on a particular issue or situation.
journalism_category,Journalism,compose,an embedded interview article about,['person'],"There are two common types of ""interviews"": the
“transcript” and the “embedded interview.” The transcript
reads like a script, being an accurate transcription
of the words used, without commentary or description.
The embedded variety is essentially an article, based
on description and commentary, with liberal quotation
(which may be either direct quotation or reported
speech)."
journalism_category,Journalism,compose,a caption for,['event'],"A caption is a title or brief explanation appended to
an article, illustration, cartoon, or poster. The caption
should add something to the graphic element and not
simply state what is obvious. In general, captions should
be informative, accurate and non-judgmental though for
a satirical or political publication they may serve some
other purpose."
journalism_category,Journalism,compose,a magazine article about,"['event', 'person']",Magazine articles are long form essays written for a particular audience on topics of interest to that audience.
journalism_category,Journalism,compose,a newspaper column on,"['event', 'person']",A newspaper column reports on events in the world in a formal and objective tone.
journalism_category,Journalism,compose,an opinion piece on,"['event', 'person', 'concept']","An opinion piece is similar to an editorial in that it states an opinion on a topic or situation, but an opinion may not have an explicit call to action."
journalism_category,Journalism,compose,a review of,['text'],"A review may be written on a book, a movie, a
restaurant, or a performance. This text type is really a
journalistic form, which aims to combine objective information
with subjective opinion. The (dominant) element
of “opinion” should involve analysis and evaluation –
while the journalism context usually demands that the
overall impact should be interesting and entertaining.
A review is not a “commentary” (which implies an
academic context)."
journalism_category,Journalism,compose,a tabloid magazine about,"['event', 'person', 'concept']","A tabloid magazine is similar to a magazine except that it deals in less in facts and information, than in gossip and sensationalism."
journalism_category,Journalism,compose,a book review on,['text'],A book review is a relatively short evaluation of a text that summarizes the text and gives an opinion on its quality.
journalism_category,Journalism,compose,a news report about,"['event', 'person']",A news report is similar in purpose to a newspaper column except that a news report is a script intended to be televised or broadcast.
journalism_category,Journalism,compose,a headline about,"['event', 'person']","A headline is a short, concise, and attention-grabbing title for a newspaper column that informs the audience of a piece of news and attempts to persuade the audience to read the complete column,"
journalism_category,Journalism,compose,a transcript of an interview with,['person'],A transcript of an interview is the pure dialogue of what was said by the participants in a conversation.
realworld_category,Real World,create,a cover letter for,['person'],"A cover letter is a formal letter of introduction, usually written when seeking employment. The cover letter should introduce the candidate's strengths, what they can bring to the institution, and what their future goals are. Cover letters are useful to compliment and expand upon information in a résumé or curriculum vitae."
realworld_category,Real World,create,a curriculum vitae for,['person'],"A curriculum vitae (or CV) is similar to a résumé in that it introduces the background and experience of a candidate for employment. The primary difference is that a CV may include information that is not necessarily related to employment such as travels, hobbies, interests, and other personal information that show the candidate is well-rounded or unique in some way. "
realworld_category,Real World,create,a series of diary entries about,"['event', 'concept', 'person', 'text']","A diary entry is written by an author as a means for recording the events of the day and the author's personal feelings and thoughts about the day. The primary difference between a journal and a diary is that a journal may or may not share the author's feelings or thoughts, but only the events of the day."
realworld_category,Real World,create,a series of journal entries about,"['event', 'concept', 'person', 'text']","A journal entry is written by an author as a means for recording the events of the day. The primary difference between a journal and a diary is that a journal may or may not share the author's feelings or thoughts, but only the events of the day."
realworld_category,Real World,create,an email to,['person'],An email is similar to a letter in electronic form though emails tend to be less formal and are generally short and to the point.
realworld_category,Real World,create,a formal letter to,['person'],"This group of text types involve writing directly to a
specific reader – as opposed to the other text types,
which all involve writing for a generalized or notional
audience. The fundamental distinction between ‘formal
and ‘informal’ correspondence is that in the formal type
the purpose of the letter is more important than the
relationship with the reader, whereas in the informal
type, the relationship between writer and reader is at
least as important as the purpose."
realworld_category,Real World,create,an informal letter to,['person'],"This group of text types involve writing directly to a
specific reader – as opposed to the other text types,
which all involve writing for a generalized or notional
audience. The fundamental distinction between ‘formal
and ‘informal’ correspondence is that in the formal type
the purpose of the letter is more important than the
relationship with the reader, whereas in the informal
type, the relationship between writer and reader is at
least as important as the purpose."
realworld_category,Real World,create,a letter of complaint to,['person'],Letters of complaint are generally sent by a consumer to a company to present a problem with a product or a service in hopes that the company will recompense the consumer or make some change in their product or service.
realworld_category,Real World,create,a letter of congratulations to,['person'],Letters of congratulations are generally sent between friends to celebrate or acknowledge some event of importance.
realworld_category,Real World,create,a letter of sympathy to,['person'],Letters of sympathy are generally sent between friends to acknowledge and offer condolences for some unhappy event.
realworld_category,Real World,create,a letter of recommendation for,['person'],Letters of recommendation are written by colleagues or superiors to inform an institution of a person's ability and appropriateness for an occupation or program.
realworld_category,Real World,create,a love letter to,['person'],Love letters are private correspondence exchanged between romantic partners.
realworld_category,Real World,create,a résumé for,['person'],"A résumé or curriculum vitae (CV) is a summary
of your education and work experience to distinguish
yourself as a candidate for employment. It may include
additional information such as awards or recognitions,
community service, language or technical skills, and certifications,
among other notable strengths or achievements."
realworld_category,Real World,create,a speech about,"['event', 'person', 'concept']","This text type involves the written form of a discourse to be presented orally. The task may emphasize clear explanation (talk, presentation), or convincing argumentation (introduction to debate, speech)."
realworld_category,Real World,create,a presentation on,"['event', 'person', 'concept', 'event', 'device']",A presentation is a general term for an orally and visually presenting information on a particular topic to an audience.
realworld_category,Real World,create,a formal report about,"['event', 'person', 'concept', 'event', 'device']","The essence of this text type is the ability to present
a clear explanation of a given subject – which involves
(i) analysis, (ii) summary and (iii) organization. Control
of organization is a fundamental skill required for this
text type. Explanations should be logical and the tone
should be objective."
realworld_category,Real World,create,a guidebook for,"['event', 'text', 'device']",A guidebook is a informational booklet that explains the highlights of a particular area so that the audience can discover the aspects of the location that they are seeking.
realworld_category,Real World,create,a list of,,A list is a number of interrelated items concerned with a particular topic or purpose.
realworld_category,Real World,create,an instruction manual for,"['event', 'person']","Instructions give concrete explanations in a precise sequence, whereas guidelines give general
 explanations, which may or may not involve precise 
sequence."
realworld_category,Real World,create,a taxonomy of,"['event', 'person', 'concept']",A taxonomy is a textual or visual classification of the various entities in a group by their similarities and differences.
realworld_category,Real World,create,a template for,,"Templates are often used by institutions to gather
information or to assess performance. Common
templates that you’ll encounter are application forms,
surveys, and standardized tests."
realworld_category,Real World,create,a glossary of terms for,"['event', 'concept', 'text']",A glossary of terms is a set up words with definitions.
realworld_category,Real World,create,a table of contents for,"['event', 'concept']",A table of contents is an outline of the contents for an essay or a book.
realworld_category,Real World,create,an outline for,['type'],An outline is a plan for an essay or some other project that lays out the argument and supporting evidence in short form.
realworld_category,Real World,create,a timeline for,['event'],A timeline is a graphic organizer that lays out the times and dates for the chronology of some event.
realworld_category,Real World,create,a debate on,"['concept', 'event']",A debate is a discussion between two individuals or two groups where each side takes a stance on a topic and presents evidence to support that stance.
creative_category,Creative,craft,an internal monologue from the perspective of,['person'],An internal monologue is the speech of a single person as it occurs inside of their minds and is unheard by others.
creative_category,Creative,craft,a non-linear narrative about,"['person', 'concept', 'event']",A non-linear narrative is a story where the plot or action is not presented chronologically.
creative_category,Creative,craft,a parable about,"['person', 'concept', 'event']","A parable is a short story that presents a moral lesson. What distinguishes a parable from a moral fable is that a fable uses animals as the characters, but a parable does not."
creative_category,Creative,craft,a card deck for,"['concept', 'event', 'text']",A card deck is can be used to classify a particular problem or be used as a study device by creating individual cards for different topics. A card deck could also be used to create a game.
creative_category,Creative,craft,a dance routine about,"['concept', 'event', 'text']",A dance routine is a series of choreographed movements set to music.
creative_category,Creative,craft,a monologue from the perspective of,"['person', 'event']",A monologue is the speech of a single person that may or may not be heard by others.
creative_category,Creative,craft,a linear narrative about,"['person', 'concept', 'event']",A linear narrative is a narrative in which the plot or action is presented chronologically.
creative_category,Creative,craft,a movie script about,"['person', 'concept', 'event']",A movie script is the stage directions and dialogue of the actors for a movie.
creative_category,Creative,craft,a television script about,"['person', 'concept', 'event']",A television script is the stage directions and the dialogue for the actors on a television program.
creative_category,Creative,craft,a dramatic performance about,"['person', 'concept', 'event']",A dramatic performance is a live-action portrayal of an historical or fictional event.
creative_category,Creative,craft,a dialogue between,"['person', 'concept', 'event']",A dialogue is a conversation between two or more people.
creative_category,Creative,craft,a re-enactment of,['event'],"A re-enactment is a dramatization of the action of a historical or fictional event, much like a dramatic performance with a script, stage directions, and actors."
creative_category,Creative,craft,an examination or assessment on,"['concept', 'device', 'event', 'person', 'text']",An examination or assessment is a means for ascertaining whether a student has mastered a particular subject or topic.
creative_category,Creative,craft,a rewrite of,['text'],A rewrite takes an already written text and changes some aspect of that text.
creative_category,Creative,craft,an origin myth about,['person'],An origin myth is a story that presents how something or someone came to be what it is or who they are.
creative_category,Creative,craft,a pamphlet for,"['concept', 'device', 'event', 'person', 'text']",A pamphlet is a short essay on a situation or issue that is intended to inform the public and call for action.
creative_category,Creative,craft,guidelines for,"['event', 'concept']","Instructions give concrete explanations in a precise sequence, whereas guidelines give general
 explanations, which may or may not involve precise 
sequence."
creative_category,Creative,craft,a recipe for,"['event', 'concept']",A recipe is a set of instructions on how to reach a particular outcome.
creative_category,Creative,craft,a serial comic about,"['concept', 'device', 'event', 'person', 'text']",A serial comic is a comic composed of multiple panels.
creative_category,Creative,craft,a syllabus on the topic of,"['concept', 'device', 'event', 'person', 'text']",A syllabus is a plan for a group of lessons to an audience of students on a particular topic and usually contains learning goals and an assessment activity.
