event_collection,assignment_command_type,action,lexis_links,explanation,video_url
aswl1_e1,explain,Apollonian and Dionysian archetypes.,,"Apollo represents such ideas as knowledge, order, patterns, technology, man, destruction.
 
Dionysus represents emotion, chaos, change, nature, woman, creation.",
aswl1_e1,explain,masculine and feminine archetypes.,,"Masculine archetypes align with the concept of Apollonian archetypes but are suggested not by the idea behind them, but the shape that they present. Masculine archetypes are also called “phallic” symbols.
 
Feminine archetypes align with Dionysian concepts and are suggested by their shape. Feminine archetypes are also called “yonic” symbols.
 
Students should be presented with the idea of identifying symbols as masculine or feminine based upon their shape.
 
Phallic symbols suggest a dagger. Yonic symbols suggest a chalice.
 
One easy way to tell the difference is that phallic symbols can be put inside of something while yonic symbols can have something put inside of them. Try giving the students random objects and having them place them into one of the two categories: house, shoe, pencil, skyscrapers.0",
aswl1_e1,discover,horizontal and vertical modes of understanding.,,"This is the idea that knowledge can be placed on two axes with the vertical axis aligning with masculine and Apollonian ideas and the horizontal axis aligning with feminine and Dionysian ideals.
 
 Useful for clearly illustrating the realm of transcendence (vertical) and immanence (horizontal); paradigmatic (vertical) and syntagmatic (horizontal); sky-father (vertical) and earth-mother (horizontal).
 
 It should also be pointed out that the individual subject is the meeting point of the two axes at (0,0).
 
 This extension also presents the opportunity to introduce some of the ideas of René Descartes as he is famous for the Cartesian coordinate system that we use to create these axes. Descartes can also be used to present the mind-body problem, commonly known as Cartesian dualism, as well as the metaphysical truth, “I think, therefore, I am” (French: Je pense, donc, je suis; Latin: cogito ergo sum).",
aswl1_e1,explain,the Jungian “collective unconscious”.,,"This concept from Carl Jung is used to explain the apparent transhistoric and transcultural nature of archetypal symbols.
 
 In other words, Jung proposes that there are symbols that cross time and space, always seeming to carry masculine or feminine suggestions regardless of history or culture. Because he finds such symbols, Jung proposed the idea of a “collective unconscious”, an unconsciousness that we all share. One way of communicating this idea is to draw a parallel between the collective unconscious and instinct.",
aswl1_e1,apply,"the concept of enantiodromia to social, cultural, and historical forces.",,"(Psychology) the concept that an abundance of any force can cause an opposite reaction. The concept is originally attributed to Heraclitus, but Carl Jung applied it in psychology to the depth and height of our emotional states being equal in their difference.
 
 In other words, if an individual is capable of extreme happiness, then they are equally capable of extreme despair.
 
 Concept can be tied to that of the dialectic where history is a movement between opposing forces.
 
 For example, an application to the food industry might be the health food movement as a reaction to fast food. We also see a dialectic, or enantiodromic, movement in politics, from left to right and back again.",
aswl1_e1,read,Parts 1-6 of Aristotle’s Poetics.,,,
aswl1_e1,define,myth.,,"Everything is a myth.
 
 Roland Barthes defines “speech” as myth in his Mythologies.
 
 Since everything “speaks,” we can then argue that everything is a myth.
 
 This has affinities with Jacques Lacan’s understanding that we do not experience the Real, but the Imaginary.
 
 Too, there are similarities in physics where we do not experience the actual world through our senses because the microscopic is invisible.
 
Northrup Frye writes: “Every sequence in words, just by virtue of the fact that it is a sequence, is a verbal structure in which the words have their own pattern and their own forms. It is impossible to describe anything with definitive accuracy in the outside world by means of words, because words are always forming their own self-contained patterns of subject, predicate and object. They are continually shaping reality into what are essentially a grammatical function.”
 
 Furthermore, according to Walter Lippman in his PUBLIC OPINION, we do not have access to the larger world as it is too large and complex for understanding so we must model it on a simpler form.
 
 However you view it, we “construct” a reality that is essentially mythical so that the vast world becomes manageable and navigable.",
aswl1_e1,give examples of,"three primary archetypes: situational, character, symbolic.",,"Situational archetypes are also known as “tropes,” i.e. boy meets girl, detective solves crime, bad guy is punished.
 
 Character archetypes are such actors as the hero, the fool, the braggart, the virgin, the whore.
 
 Symbolic archetypes are Apollonian, Dionysian, phallic, yonic, masculine, feminine.",
aswl1_e1,question,the motivation of a character.,,,
aswl1_e1,identify,mythological allusions in a text.,,,
aswl1_e1,analyze,the function of an archetypal symbol.,,,
aswl1_e1,analyze,the function of a mythological allusion.,,,
aswl1_e1,give,examples of classical archetypes.,,,
aswl1_e1,explain,the concept of dualism.,,"Understanding dualisms is the key to understanding human consciousness and knowledge.
 
 Other terms for dualism are binary, dichotomy, and bifurcation.
 
 Considering that meaning is based on difference, meaning itself comes from dualisms.
 
 Whether it’s John Locke, Lao Tse, or Ferdinand de Saussure, the understanding of the relationship between binaries and meaning is essential.
 
 There is no good without evil, no beauty without ugliness, no night without day. For every x there is a not-x.
 
 This is the apparently inescapable prison of human understanding.",
aswl1_e1,locate,a dualism in a literary text.,,,
