term,icons,part_of_speech,derivations,etymology,roots,highlight,application,exploration,quote,author,source_major,event_collection
alliteration,"['device', 'essential', 'common', 'concept']",n.,"['alliterate v.',  'alliterative adj.', 'alliteratively adv.']","1650s “a beginning with the same letter” from Modern Latin alliterationem. Noun of action from ""alliterare“. From Latin ad- “to”  + littera “letter, script.”

","['ad-', '-littera']","['a beginning with the same letter', 'to begin with the same letter']","['recognize alliteration in both poetry and prose.', 
'consider the effect of alliteration on a text.', 
'consider whether alliteration is impactful or memorable.', 
'note the use of alliteration in media and popular culture.']","['What are the two types of alliteration?', 
'How might alliteration impact mood, rhythm, or characterization?', 
'The repetition of ‘hard’ or ‘soft’ sounds might have what effect on a text?', 
'How might alliteration be effectively used in advertising?']","[A]ttempts to explain alliteration, bordering  on parody, required a rebuff and an attempt  to produce concrete evidence showing that sounds in verse exist apart from any connection with imagery, that they have an independent oral function. 


",Boris Eichenbaum,The Theory of the “Formal Method”,aswl1_e1
allusion,"['device', 'essential', 'common']",n.,"['allude (v.)', 'allusory (adj.)']","1540s “a playing with, a reference to” from Latin allusionem (nominative allusio).",['allusio-'],"['a playing with, a reference to']","['be introduced to the various categories of common allusions: cultural, literary, historical, biblical, and mythological.']","['What is the potential effect of allusions on a text?', 
'Is it possible for an allusion to fail to impact an audience?', 
'What should a writer consider when utilizing allusion?']","The frequency and depth of literary allusion in the poetry of Eliot and others has driven so many in pursuit of full meanings [...] that it has become a kind of commonplace to suppose that we do not know what a poet means. unless we have traced him in his reading—a supposition redolent with intentional implications.

","W. K. Wimsatt and Monroe C. Beardsley
",“The Intentional Fallacy”,aswl1_e1
antagonist,"['person', 'essential', 'common', 'concept']",n.,"['antagonize (v.)', 'antagonistic (adj.)', 'antagonism (n.)']","1590s from French antagoniste or directly from Late Latin antagonista, from Greek antagonistes “competitor, opponent, rival”, agent noun from antagonizesthai “to struggle against, oppose, be a rival” Originally in battle or sport, extended 1620s to any sphere of human activity.


",['agon-'],"['competitor', 'opponent', 'rival', ' struggle against', 'oppose', 'be a rival']","['know that antagonist is the opposite of protagonist.', 'give evidence as to why or why not a particular character is an antagonist.', 
'consider how setting can be antagonistic.', 'explore how the relationship between the antagonist and the protagonist creates conflict or tension.']","['Does a narrative require both a protagonist and an antagonist?', 
'If your life were a novel, who would be the antagonist?',
'How can we identify the antagonist?',
'What are some archetypes of antagonists?',
'How can aspects of a text that are not characters be antagonistic?']","[A] novel starts in us all sorts of antagonistic and opposed emotions. Life conflicts with something that is not life. Hence the difficulty of coming to any agreement about novels, and the immense sway that our private prejudices have upon us.


",Virginia Woolf,A Room of One’s Own,aswl1_e1
" archetype
","['essential', 'common', 'concept']",n.,['archetypal (adj.)'],"1540s or 1600 “Original pattern from which copies are made” from Latin archetypum, from Greek arkhetypon “pattern, model, figure on a seal”, neuter of adjective arkhetypos “first-moulded”, from arkhe- “first” + typos “model, type, blow, mark of a blow.”' '1919 Jungian psychology sense of “pervasive idea or image from the collective unconscious”. Carl Jung defined archetypal images as “forms or images of a collective nature which occur practically all over the earth as constituents of myths and at the same time as autochthonous individual products of unconscious origin”.

","['arche-', ' -typos']","['original pattern from which copies are made', 'model', 'figure on a seal, first-moulded, model', 'type', 'blow', 'mark of a blow', 'pervasive idea or image from the collective unconscious']","['know that archetypes are a foundational concept and should be given the utmost attention.', 'know the various types of archetypes, particularly Apollonian and Dionysian.', 'explore situational and character archetypes.', 'emphasize exploration of symbolic archetypes.', 'understand the theory that all symbols are built on archetypes.', 'explore how symbols fall into two basic categories based upon Apollonian and Dionysian archetypes.', 'be introduced to Friedrich Nietzsche, his Birth of Tragedy, and the theory of eternal recurrence.']","['What are archetypes?', 
'Why are archetypes important for the study of literature?', 
'What are the most basic archetypes?', 
'How can we use archetypes to create a narrative, create characters, or create meaning?', 
'How do writers use archetypes?']","[I]he intention is to make us feel the lovable beauty of the archetype and of the Divine Idea; for to admire a representation is to admire the original upon which it was made.

","Plotinus
",On the Intellectual Beauty,aswl1_e1
audience,"['essential, common']",n.,,"Late 1400s “the action of hearing” from Old French audience, from Latin audentia “a hearing, listening”, from audientum, present participle of audire “to hear,” from compound au-dh- “to perceive physically, grasp,” from root au- “to perceive” (cognates: Greek aisthanesthai “to feel;” Sanskrit avih, Avestan avish “openly, evidently;” Old Church Slavonic javiti “to reveal”).' 'Late 1400s “formal hearing or reception”', 'Early 1500s “persons within hearing range, assembly of listeners”', '1855 “Readers of a book”', '1940 Audience-participation.","['audiens', ' audentia']","['the action of hearing', 'persons within hearing range', 'assembly of listeners']","['identify the audience of a text.', 
'consider the audience when producing an argument.', 
'consider the relationship between audience, context, and message.', 
'adapt one message for two different audiences.']","['What are some methods for identifying the audience of a text?',
'Why is it important to consider one’s audience when writing?',
'How can we adapt a message for a particular audience?',
'What is an ideal audience?']","[T]ransfer your easy tone, your simple expression, your everyday bearing, to the stage, and, I assure you, you will be paltry and weak. You may cry to your heart’s content, and the audience will only laugh. It will be the tragedy outside a booth at a fair.


",Denis Diderot,The Paradox of Acting,aswl1_e1
"caesura
","['device', 'common', 'concept']",n.,,"1550s from Latin caesura, “metrical pause”. Literally “a cutting” from past participle stem of caedere “to cut down”. Any pause in the middle of a line of poetry.","['caesura', ' caedere']",['metrical pause'],"['recognize the use of this device in poetry.', 'explore the effect of this devise in pacing or in placing emphasis on specific words or images.', 'understand how to use the term as a synonym for a “break” in time or thought.']","['How does caesura effect the pacing of a poem?', 
'Is the caesura suggesting an emphasis upon the words or images surrounding it?', ]","The historical dimension of literature, its eventful continuity that is lost in traditionalism as in positivism, can meanwhile be recovered only if the literary historian finds points of intersection and brings works to light that articulate the processlike character of ‘literary evolution’ in its moments formative of history as well as its caesurae between periods.

","Hans Robert Jauss
",Literary History as a Challenge to Literary Theory,aswl1_e1
"connotation
","['device', 'essential', 'common', 'concept']",n.,"['connote (v.)', 'connotative (adj.)']","1530s, ""signify in addition to the main meaning"" from Medieval Latin connotationem (nominative connotatio), from connotat-, past participle stem of connotarea term in logic', 'literally ""to mark along with"" from Latin com- ""together""","['com-', ' notare']",['signify in addition to the main meaning'],"['know that connotation is the opposite of denotation.', 'understand that the connotations of words change over time.', 'explore the significance of connotations in order to better understand the potential “meanings” of a text.']","['Are there words that do not have connotations?', 
'Is connotation necessary to create meaning?', 
'How can we know the connotations of words?', 
'Why does the connotation of words change over time?', 
'To what extent does my own personal experience add connotations to words?']","Another equivocation in our talk about meaninglessness was introduced by John Stuart Mill, and again rests on a new, [] concept of meaning. He locates the essence of the meaning of names in their connotation, and therefore treats non-connotative names as meaningless. 
","Edmund Husserl
",Expression and Meaning,aswl1_e1
context,"['essential', 'common', 'concept']",n.,"['contextualize (tr.)', '( v.)', 'contextual (adj.)', 'contextualization (n.)', 'decontextualize (v.)']","Early 1400s, from Latin contextus “a joining together,” “to weave together,” from com - “together” + texere “to weave, to make.”","['com-', ' -texere']","['the circumstances that form the setting for an event, statement, or idea, and in terms of which it can be fully understood.']","['be aware of how context impacts any message.', 'explore how the historical period influences a text or how a specific occasion effects the delivery of a message in a speech.', 'consider how context influences the meaning of an utterance.']","['How does knowing the historical context surrounding the production of a work of literature enhance our understanding of the text?', 
'How might context effect the delivery of a message?', 'How does context change the possible interpretation of an utterance?', 
'How many different interpretations are there of the following statements: “It’s hot in here”; “Flying airplanes can be dangerous”; “Shut the door, please”?']","Suppose I say to you, for example, ‘Sir, you are standing on my foot.’ Now in most contexts when I make a statement of that sort I am making not only an Assertive, but I am also indirectly requesting and perhaps even ordering you to get off my foot.

","John R. Searle
",Expression and Meaning: Studies in the Theory of Speech Acts,aswl1_e1
cyclic,"['essential', 'common']",adj.,"['cyclical  (adj.)', 'cycle (n.)', 'cycle (v.)']","1794 from French cyclique, from Latin cyclicus, from Greek kyklikos “moving in a circle”, from kyklos. Referring to history, the sense of historical repetition.","['cyclicus', ' kyklos']",['moving in a circle'],"['understand aspects of life that are cyclical in nature.', 'explore how cycles influence society and culture.', 'consider whether history moves in cycles.', 'consider how natural cycles (i.e., the rising and setting of the sun) influence perspective.']","['Does history move in cycles?', 
'What aspects of your daily life are cyclical?', 
'Are habits a type of cyclical action?',
'Is there a relationship between rituals and cycles?', 
'How are habits formed?',
'Is it possible for something to have neither beginning nor ending?']","Every crucial periodicity of experience: dawn, sunset, the phases of the moon, seed-time and harvest, the equinoxes and the solstices, birth, initiation, marriage, and death, get rituals attached to them. The pull of ritual is toward pure cyclical narrative, which, if there could be such a thing, would be automatic and unconscious repetition.

","Northrup Frye
",Anatomy of Criticism,aswl1_e1
denotation,"['common', 'concept']",n.,"['denote (v.)', 'denotative (adj.)']",1530s “indication” from Late Latin denotationem. Commonly understood as the dictionary definition of a word.,['denotationem'],['indication'],"['know that denotation is the opposite of connotation.', 
'understand how denotation does not fully provide the meaning of a word.'
]","['Where can we find the denotative meaning of a word?',
'What is absent from denotative meaning?',
'How might context affect meaning?',
'Which takes precedence in meaning: denotation, connotation, or convention?'
]","The terms of science are abstract symbols which do not change under the pressure of the context. They are pure (or aspire to be pure) denotations; they are defined in advance. They are not to be warped into new meanings. But where is the dictionary which contains the terms of a poem? It is a truism that the poet is continually forced to remake language.

","Cleanth Brooks
",The Heresy of Paraphrase,aswl1_e1
