event_collection,birthdate,author_first_name,author_last_name,title_minor,excerpt,link,keywords,reading_category
aswl1_e1,1974-,Marco,Roth,Roland Barthes: Myths We Don’t Outgrow,"Perhaps the best way to understand what drove Roland Barthes, then a thirty-nine-year-old professor of literature, to begin writing the series of short essays later published as “Mythologies” is to take a brief glance at the myth of the supposedly decadent influence of French theory on American intellectual life. “He’d met Roland Barthes, at a dinner party, and been converted, over cassoulet, to the new faith,” goes a line about a Brown semiotics professor in Jeffrey Eugenides’s recent novel, “The Marriage Plot.” It’s a sentence that both describes and reënacts the mysterious process by which an essayist and literary critic who would have “interrogated” that dish of duck fat, beans, and sausage, demanding to know what it thought it was doing at his dinner party, somehow came to be seen as just another aspect of the stereotypical Frenchness he’d set out to unmask as a repressive fraud….
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5b7deff90e2e7270a529f466/1534980089713/aswliU1RolandBarthesMythsWeDontOutgrowMarcoRoth.pdf,"['article', 'myth', 'Barthes', 'theory', 'speech', 'literature']",Essay
aswl1_e1,1945-,Mark,C. Taylor,Ye Shall Be as Goddesses,"In recent years, symbols, myths and rituals associated with goddess figures have provoked widespread interest and lively debate. New Age devotees, psychologists, sociologists, anthropologists, feminists, writers, philosophers, theologians and critics of patriarchal societies have all been arguing that long-ignored traditions of goddess worship provide rich resources for social and cultural renewal. The important progress that has been made in developing a responsible reconsideration of the history and significance of goddesses underscores the serious shortcomings of Anne Baring and Jules Cashford's disappointing book, ""The Myth of the Goddess: Evolution of an Image….
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5b7df018898583e2d4049f65/1534980120625/aswliU1YeShallBeAsGoddessesMarkCTaylor.pdf,"['myth', 'goddess', 'patriarchy', 'Jung', 'review']",Essay
aswl1_e1,na,Julie,Maybee,Hegel’s Dialectics,"“Dialectics” is a term used to describe a method of philosophical argument that involves some sort of contradictory process between opposing sides. In what is perhaps the most classic version of “dialectics”, the ancient Greek philosopher, Plato (see entry on Plato), for instance, presented his philosophical argument as a back-and-forth dialogue or debate, generally between the character of Socrates, on one side, and some person or group of people to whom Socrates was talking (his interlocutors), on the other. In the course of the dialogues, Socrates’ interlocutors propose definitions of philosophical concepts or express views that Socrates challenges or opposes. The back-and-forth debate between opposing sides produces a kind of linear progression or evolution in philosophical views or positions: as the dialogues go along, Socrates’ interlocutors change or refine their views in response to Socrates’ challenges and come to adopt more sophisticated views. The back-and-forth dialectic between Socrates and his interlocutors thus becomes Plato’s way of arguing against the earlier, less sophisticated views or positions and for the more sophisticated ones later….
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5b7defe603ce64908eda2cbf/1534980076519/aswliU1HegelsDialecticsTheStanfordEncyclopedia.pdf,"['dialectic', 'philosophy', 'Hegel', 'Plato', 'logic']",Essay
aswl1_e1,1915-1980,Roland,Barthes,Myth Today,"What is a myth, today? I shall give at the outset a first, very simple answer, which is perfectly consistent with etymology: myth is a type of speech.
 
Myth is a type of speech
 
Of course, it is not any type: language needs special conditions in order to become myth: we shall see them in a minute. But what must be firmly established at the start is that myth is a system of communication, that it is a message. This allows one to perceive that myth cannot possibly be an object, a concept, or an idea; it is a mode of signification, a form. Later, we shall have to assign to this form historical limits, conditions of use, and reintroduce society into it: we must nevertheless first describe it as a form….
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5b7defbf4fa51aed6f517de5/1534980036291/aswiIU1MythTodayRolandBarthes.pdf,"['myth', 'language', 'speech', 'semiology', 'signifier', 'linguistics']",Essay
aswl1_e1,,Robert,J. Zimmer,The Myth of the Successful College Dropout,"An increasingly familiar and seductive story has been circulating about young people who, drawing inspiration from billionaire entrepreneurs and computer giants, consider dropping out of college a fast track to business success.
 
Names like Jobs, Gates, Dell, and others lend star power to the myth of the wildly successful college dropout. One recent New York Times homage to the phenomenon compared dropping out to ""lighting out for the territories to strike gold,"" with one young executive describing it as ""almost a badge of honor"" among startup entrepreneurs. Like any myth, this story has a kernel of truth: There are exceptional individuals whose hard work, determination, and intelligence make up for the lack of a college degree. If they could do it, one might think, why can't everybody?
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5b7df00703ce64908eda2dec/1534980104072/aswliU1TheMythOfTheSuccessfulCollegeDropoutRobertJZimmer.pdf,"['myth', 'education', 'statistics', 'college']",Essay
aswl1_e1,,Frank,Furedi,Books Are Dangerous,"Contagion, poison and trigger. The idea that books are dangerous has a long history, and holds a kernel of truth
 
At universities around the world, students are claiming that reading books can unsettle them to the point of becoming depressed, traumatised or even suicidal. Some contend that Virginia Woolf’s novel Mrs Dalloway (1925), in which a suicide has taken place, could trigger suicidal thoughts among those disposed to self-harm. Others insist that F Scott Fitzgerald’s The Great Gatsby (1925), with its undercurrent of spousal violence, might trigger painful memories of domestic abuse. Even ancient classical texts, students have argued, can be dangerous: at Columbia University in New York, student activists demanded that a warning be attached to Ovid’s Metamorphoses on grounds that its ‘vivid depictions of rape’ might trigger a feeling of insecurity and vulnerability among some undergraduates….
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5b7defd188251b2ccdafb369/1534980049560/aswliU1BooksAreDangerousFrankFuredi.pdf,"['reading', 'trigger warning', 'Mrs Dalloway', 'Great Gatsby', 'Metamorphoses', 'Phaedrus', 'blasphemy', 'censorship', 'Sorrows of Young Werther', 'suicide,']",Essay
aswl1_e1,1907-1973,W. H.,Auden,The Unknown Citizen,"The Unknown Citizen
 
 He was found by the Bureau of Statistics to be
 One against whom there was no official complaint,
 And all the reports on his conduct agree
 That, in the modern sense of an old-fashioned word, he was a
 saint,
 For in everything he did he served the Greater Community.
 Except for the War till the day he retired
 He worked in a factory and never got fired,
 But satisfied his employers, Fudge Motors Inc.
 Yet he wasn’t a scab or odd in his views,
 For his Union reports that he paid his dues,
 (Our report on his Union shows it was sound)
 And our Social Psychology workers found
 That he was popular with his mates and liked a drink.
 The Press are convinced that he bought a paper every day
 And that his reactions to advertisements were normal in every way.
 Policies taken out in his name prove that he was fully insured,
 And his Health-card shows he was once in hospital but left it cured.
 Both Producers Research and High-Grade Living declare
 He was fully sensible to the advantages of the Instalment Plan
 And had everything necessary to the Modern Man,
 A phonograph, a radio, a car and a frigidaire…
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd0062c652dea566c300da5/1540359724974/aswl1U1UnknownCitzenW.H.Auden.pdf,"['Modern', 'WWI', 'allusion', 'poetry', 'Bureau of Labor Statistics', 'Federal Statistical System', 'Ford Motors', 'Inc.', 'scab', 'union', 'Installment Plan', 'payment plan. gramophone', 'record player', 'frigidaire', 'refrigerator', 'Eugenist', 'Tomb of the Unknown Soldier']",Poem
aswl1_e1,1907-1973,W. H.,Auden,The Fall of Rome,"The Fall of Rome
 
 The piers are pummelled by the waves;
 In a lonely field the rain
 Lashes an abandoned train;
 Outlawas fill the mountain caves.
 
 Fantastic grow the evening gowns;
 Agents of the Fisc pursue
 Absconding tax-defaulters through
 The sewers of provincial towns.
 
 Private rites of magic send
 The temple prostitutes to sleep;
 All the literati keep
 An imaginary friend…
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd005efe79c7033756c4d8e/1540359664194/aswl1U1TheFallOfRomeW.H.Auden.pdf,"['allusion', 'analogy', 'Rome', 'Caesar', 'Cato', 'Fisc', 'civilization']",Poem
aswl1_e1,1936-1996,Marin,Sorescu,Prometheus,"Prometheus
 
 I feel the wings of the eagle
 Stretch wide the lips of my liver;
 I feel its talons,
 I feel its iron beak,
 I feel the enormity of its hunger for life,
 Its thirst for flight
 With me in its talons.
 And I fly.
 Whoever said I was chained?
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd005c6a4222f3b7d1356e2/1540359622727/aswl1U1PrometheusMarinSorescu.pdf,"['Prometheus', 'myth', 'Greek', 'allusion', 'mythology']",Poem
aswl1_e1,1885-1930,D. H.,Lawrence,Leda,"Leda
 
 Where the slow river
 meets the tide,
 a red swan lifts red wings
 and darker beak,
 and underneath the purple down
 of his soft breast
 uncurls his coral feet.
 
 Through the deep purple
 of the dying heat
 of sun and mist,
 the level ray of sun-beam
 has caressed
 the lily with dark breast,
 and flecked with richer gold
 its golden crest…
 
 ",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd00570c830256995ab9be7/1540359536824/aswl1U1LedaDHLawrence.pdf,"['myth', 'mythology', 'sexuality', 'Greek', 'Zeus']",Poem
